sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim	sample1_study	sample1_area	sample1_hhid	sample1_tr	sample1_gps_lat	sample1_gps_lon	sample1_location	sample2_study	sample2_area	sample2_hhid	sample2_tr	sample2_gps_lat	sample2_gps_lon	sample2_location	distance	HH_type	tr	area	location	species	genus	coverage_mean	callablePct_mean	confirmedPct_mean	snpPct_mean	multiPct_mean	lowmqPct_mean	highPct_mean	combined_rf_call
ESO1212204120S1K	stools_12065150	na	NZ_LR882493.1	4841444	1178260	24.337	1175184	99.7389	1172221	99.7479	3076	0.2611	1175287	99.7477	16277	1.3814	13304	81.735	10264	63.0583	1556	9.5595	3872	23.7882	361789	78.8999	285777	86.0475	0.9564	WASHB	rural	2122041	Control	NA	NA	26	Nairobi	urban	12065	Control	NA	NA	Ngandu	304548.343437741	Between	Control	NA	Different_loc	Esch_coli	Esch	2.0655	45.899	98.907	1.093	0.1235	1.239	0.8675	0
ESO1212204120S1K	stools_12068102	na	NZ_LR882493.1	4841444	1235271	25.5145	1230701	99.63	1226454	99.6549	4570	0.37	1231015	99.6555	16632	1.3464	12376	74.4108	7894	47.4627	2714	16.3179	4791	28.8059	361789	57.8826	144133	90.0731	0.9434	WASHB	rural	2122041	Control	NA	NA	26	Nairobi	urban	12068	Control	NA	NA	Ngandu	304540.875840616	Between	Control	NA	Different_loc	Esch_coli	Esch	2.54	48.121	99.022	0.978	0.182	3.5905	1.1075	0
ESO1212204120S1K	stools_12068150	na	NZ_LR882493.1	4841444	988518	20.4178	983355	99.4777	979113	99.5686	5163	0.5223	984257	99.569	15403	1.5582	11142	72.3366	6067	39.3884	2521	16.3669	5608	36.4085	361789	68.3802	163435	95.8999	0.9453	WASHB	rural	2122041	Control	NA	NA	26	Nairobi	urban	12068	Control	NA	NA	Ngandu	304540.875840616	Between	Control	NA	Different_loc	Esch_coli	Esch	5.3155	43.0995	99.0175	0.9825	0.2505	23.115	1.5545	0
ESO1212204120S1K	stools_12080101	na	NZ_LR882493.1	4841444	448693	9.2678	447715	99.782	445267	99.4532	978	0.218	446240	99.4533	5676	1.265	3223	56.7829	2259	39.7992	1749	30.814	1413	24.8943	361789	64.9271	236087	92.8132	0.9564	WASHB	rural	2122041	Control	NA	NA	26	Nairobi	urban	12080	Control	NA	NA	Ngandu	304742.657559652	Between	Control	NA	Different_loc	Esch_coli	Esch	1.9925	30.2205	99.061	0.939	0.109	15.717	0.8255	0
ESO1212204120S1K	stools_12087501	na	NZ_LR882493.1	4841444	136779	2.8252	136116	99.5153	131518	96.622	663	0.4847	132150	96.6157	5637	4.1212	1008	17.8819	382	6.7767	1565	27.763	3699	65.62	361789	63.6205	172664	92.7246	0.9498	WASHB	rural	2122041	Control	NA	NA	26	Nairobi	urban	12087	Control	NA	NA	Ngandu	304522.693466551	Between	Control	NA	Different_loc	Esch_coli	Esch	1.833	23.2365	98.269	1.729	0.184	21.2045	3.619	0
ESO1212204120S1K	stools_12096150	na	NZ_LR882493.1	4841444	59781	1.2348	59701	99.8662	59248	99.2412	80	0.1338	59328	99.2422	763	1.2763	310	40.6291	230	30.1442	336	44.0367	192	25.1638	361789	56.8434	464029	51.5229	0.9178	WASHB	rural	2122041	Control	NA	NA	26	Nairobi	urban	12096	Control	NA	NA	Ngandu	305106.2606345	Between	Control	NA	Different_loc	Esch_coli	Esch	1.0765	21.3795	98.9955	1.0045	0.0515	7.4315	1.1055	0
ESO1212204120S1K	stools_12111102	na	NZ_LR882493.1	4841444	453121	9.3592	451866	99.723	447074	98.9395	1255	0.277	448312	98.9387	7209	1.591	2400	33.2917	1177	16.3268	3961	54.9452	1763	24.4555	361789	64.6263	183189	93.9576	0.9527	WASHB	rural	2122041	Control	NA	NA	26	Nairobi	urban	12111	Control	NA	NA	Ngandu	304407.132442542	Between	Control	NA	Different_loc	Esch_coli	Esch	3.5545	31.099	99.1765	0.8235	0.1395	27.3755	2.243	0
ESO1212206220S1K	stools_11007150	na	NZ_LR134231.1	4594692	1089796	23.7186	1080814	99.1758	1076029	99.5573	8982	0.8242	1084888	99.5496	14010	1.2856	9102	64.9679	709	5.0607	6074	43.3547	6498	46.3812	63235	44.0958	54887	72.6092	0.9876	WASHB	rural	2122062	Control	NA	NA	26	Nairobi	urban	11007	Water	NA	NA	Gatwekera	309497.541334404	Between		NA	Different_loc	Esch_coli	Esch	5.0565	53.426	99.689	0.31	0.3485	19.894	1.344	0
ESO1212206220S1K	stools_11011150	na	NZ_CP100544.1	4679910	324720	6.9386	322405	99.2871	318122	98.6715	2315	0.7129	320393	98.6675	6822	2.1009	2495	36.5729	250	3.6646	5712	83.7291	749	10.9792	42404	70.6867	69777	45.2226	0.9886	WASHB	rural	2122062	Control	NA	NA	26	Nairobi	urban	11011	Water	NA	NA	Gatwekera	309447.386730125	Between		NA	Different_loc	Esch_coli	Esch	2.2895	24.2465	99.3215	0.6755	0.2985	25.2655	3.1085	0
ESO1212206220S1K	stools_11038101	na	NZ_LR134231.1	4594692	1983249	43.1639	1969117	99.2874	1966256	99.8547	14132	0.7126	1980356	99.8541	17192	0.8669	14299	83.1724	379	2.2045	11965	69.5963	4669	27.158	63235	34.22	28166	70.1023	0.988	WASHB	rural	2122062	Control	NA	NA	26	Nairobi	urban	11038	Water	NA	NA	Gatwekera	309216.496103934	Between		NA	Different_loc	Esch_coli	Esch	9.524	65.1625	99.909	0.09	0.3325	39.1025	1.568	0
ESO1212206220S1K	stools_11038501	na	NZ_LR134231.1	4594692	416022	9.0544	413634	99.426	412622	99.7553	2388	0.574	415003	99.7551	3472	0.8346	2453	70.6509	75	2.1601	2584	74.424	771	22.2062	63235	79.1587	162476	53.4805	0.9646	WASHB	rural	2122062	Control	NA	NA	26	Nairobi	urban	11038	Water	NA	NA	Gatwekera	309216.496103934	Between		NA	Different_loc	Esch_coli	Esch	4.3695	45.468	99.8425	0.157	0.24	11.594	0.8905	0
ESO1212206220S1K	stools_11044501	na	NZ_LR134231.1	4594692	1908256	41.5318	1892354	99.1667	1888956	99.8204	15902	0.8333	1904826	99.8203	19564	1.0252	16134	82.4678	607	3.1026	11035	56.4046	7761	39.6698	63235	52.7002	49308	76.2635	0.9897	WASHB	rural	2122062	Control	NA	NA	26	Nairobi	urban	11044	Water	NA	NA	Gatwekera	309207.070417713	Between		NA	Different_loc	Esch_coli	Esch	8.8735	64.6825	99.887	0.1125	0.396	36.157	1.6585	0
ESO1212206220S1K	stools_11046101	na	NZ_CP100544.1	4679910	763213	16.3083	758328	99.3599	749736	98.867	4885	0.6401	754527	98.8619	13732	1.7992	5046	36.7463	308	2.2429	12285	89.4626	920	6.6997	42404	86.8385	38491	79.9745	0.9937	WASHB	rural	2122062	Control	NA	NA	26	Nairobi	urban	11046	Water	NA	NA	Kibera	309269.216963037	Between		NA	Different_loc	Esch_coli	Esch	175.9145	45.7465	99.3795	0.617	0.308	50.348	12.5485	0
ESO1212206220S1K	stools_11107501	na	NZ_LR134231.1	4594692	500605	10.8953	498324	99.5444	496512	99.6364	2281	0.4556	498778	99.635	4327	0.8644	2500	57.7768	243	5.6159	2843	65.7037	1166	26.9471	63235	100	157531	51.5733	0.9776	WASHB	rural	2122062	Control	NA	NA	26	Nairobi	urban	11107	Water	NA	NA	Kibera	309411.753791995	Between		NA	Different_loc	Esch_coli	Esch	6.4705	46.6695	99.7915	0.208	0.244	42.3985	1.1195	0
ESO1212206220S1K	stools_12058150	na	NZ_LR134231.1	4594692	369156	8.0344	367219	99.4753	365618	99.564	1937	0.5247	367545	99.5636	3650	0.9887	2039	55.863	115	3.1507	2572	70.4658	940	25.7534	63235	80.6436	118020	61.2913	0.9825	WASHB	rural	2122062	Control	NA	NA	26	Nairobi	urban	12058	Control	NA	NA	Ngandu	304709.970932495	Between	Control	NA	Different_loc	Esch_coli	Esch	5.512	45.218	99.826	0.1735	0.266	34.079	1.1285	0
ESO1212206220S1K	stools_12060501	na	NZ_LR134231.1	4594692	1451068	31.5814	1441170	99.3179	1434618	99.5454	9898	0.6821	1444469	99.5452	16678	1.1494	10079	60.4329	359	2.1525	7805	46.7982	8246	49.4424	63235	72.0392	68981	75.847	0.9892	WASHB	rural	2122062	Control	NA	NA	26	Nairobi	urban	12060	Control	NA	NA	Ngandu	304625.913228479	Between	Control	NA	Different_loc	Esch_coli	Esch	5.0215	58.9575	99.741	0.259	0.323	12.9875	1.158	0
ESO1212206220S1K	stools_12062101	na	NZ_LR134231.1	4594692	1459239	31.7592	1449923	99.3616	1445622	99.7034	9316	0.6384	1454907	99.7031	13761	0.943	9429	68.5197	215	1.5624	8059	58.5641	5398	39.2268	63235	49.2639	60817	67.4039	0.9877	WASHB	rural	2122062	Control	NA	NA	26	Nairobi	urban	12062	Control	NA	NA	Ngandu	304636.390051041	Between	Control	NA	Different_loc	Esch_coli	Esch	5.1285	58.8165	99.8275	0.172	0.3015	15.1355	1.6965	0
ESO1212206220S1K	stools_12072101	na	NZ_LR134231.1	4594692	955767	20.8015	947434	99.1281	945351	99.7801	8333	0.8719	953667	99.7803	10553	1.1041	8453	80.1004	251	2.3785	6295	59.6513	3899	36.9468	63235	39.3216	30305	100	0.9904	WASHB	rural	2122062	Control	NA	NA	26	Nairobi	urban	12072	Control	NA	NA	Ngandu	304594.945326686	Between	Control	NA	Different_loc	Esch_coli	Esch	13.386	52.5405	99.8865	0.113	0.411	51.6345	3.069	0
ESO1212206220S1K	stools_12084101	na	NZ_LR134231.1	4594692	1719078	37.4144	1704611	99.1584	1701725	99.8307	14467	0.8416	1716156	99.83	17786	1.0346	14864	83.5713	828	4.6553	8908	50.0843	7830	44.0234	63235	77.2246	45884	100	0.9936	WASHB	rural	2122062	Control	NA	NA	26	Nairobi	urban	12084	Control	NA	NA	Ngandu	304863.989711202	Between	Control	NA	Different_loc	Esch_coli	Esch	14.057	62.3775	99.874	0.1255	0.436	44.411	2.601	0
ESO1212206220S1K	stools_12084102	na	NZ_LR134231.1	4594692	3149416	68.5447	3133311	99.4886	3128190	99.8366	16105	0.5114	3144253	99.8361	21859	0.6941	16696	76.3804	774	3.5409	14934	68.3197	5894	26.9637	63235	58.6779	44020	100	0.9924	WASHB	rural	2122062	Control	NA	NA	26	Nairobi	urban	12084	Control	NA	NA	Ngandu	304863.989711202	Between	Control	NA	Different_loc	Esch_coli	Esch	39.9795	80.7415	99.868	0.1315	0.28	18.68	7.3085	0
ESO1212206220S1K	stools_12098150	na	NZ_LR134231.1	4594692	431216	9.3851	428433	99.3546	426213	99.4818	2783	0.6454	428976	99.4805	5131	1.1899	2891	56.3438	143	2.787	3142	61.2356	1804	35.1588	63235	80.6436	97381	65.2345	0.987	WASHB	rural	2122062	Control	NA	NA	26	Nairobi	urban	12098	Control	NA	NA	Ngandu	304519.770202329	Between	Control	NA	Different_loc	Esch_coli	Esch	5.9135	46.096	99.7835	0.216	0.302	38.112	0.901	0
ESO1212703120S1K	stools_11007150	na	NZ_LR134231.1	4594692	626901	13.644	624088	99.5513	620166	99.3716	2813	0.4487	622944	99.3688	6868	1.0955	2911	42.385	177	2.5772	1970	28.6838	4627	67.3704	75987	37.5117	54887	72.6092	0.985	WASHB	rural	2127031	Control	NA	NA	26	Nairobi	urban	11007	Water	NA	NA	Gatwekera	309283.407606126	Between		NA	Different_loc	Esch_coli	Esch	2.1815	34.528	99.6435	0.356	0.1995	16.422	1.172	0
ESO1212703120S1K	stools_11038101	na	NZ_LR134231.1	4594692	1086720	23.6516	1082447	99.6068	1079944	99.7688	4273	0.3932	1084210	99.769	6871	0.6323	4361	63.4697	171	2.4887	3843	55.9307	2705	39.3684	75987	27.3205	28166	70.1023	0.9857	WASHB	rural	2127031	Control	NA	NA	26	Nairobi	urban	11038	Water	NA	NA	Gatwekera	309001.136494755	Between		NA	Different_loc	Esch_coli	Esch	6.649	46.2645	99.8635	0.136	0.1835	35.6305	1.396	0
ESO1212703120S1K	stools_11038501	na	NZ_LR134231.1	4594692	227396	4.9491	227021	99.8351	226366	99.7115	375	0.1649	226740	99.7115	1100	0.4837	444	40.3636	70	6.3636	628	57.0909	391	35.5455	75987	64.5255	162476	66.0381	0.9646	WASHB	rural	2127031	Control	NA	NA	26	Nairobi	urban	11038	Water	NA	NA	Gatwekera	309001.136494755	Between		NA	Different_loc	Esch_coli	Esch	1.4945	26.57	99.797	0.203	0.091	8.122	0.7185	0
ESO1212703120S1K	stools_11041101	na	NZ_CP022086.2	5256950	443464	8.4358	441506	99.5585	437406	99.0714	1958	0.4415	439347	99.0716	6150	1.3868	2033	33.0569	114	1.8537	4314	70.1463	1469	23.8862	138347	54.9878	106142	59.703	0.9724	WASHB	rural	2127031	Control	NA	NA	26	Nairobi	urban	11041	Water	NA	NA	Gatwekera	308980.656724718	Between		NA	Different_loc	Esch_coli	Esch	4.1185	33.211	99.526	0.4745	0.1885	28.0875	4.7695	0
ESO1212703120S1K	stools_11041102	na	NZ_CP022086.2	5256950	288710	5.492	286361	99.1864	283439	98.9796	2349	0.8136	285752	98.9754	5953	2.0619	2995	50.3108	732	12.2963	2045	34.3524	2970	49.8908	138347	77.6049	179995	76.3993	0.9775	WASHB	rural	2127031	Control	NA	NA	26	Nairobi	urban	11041	Water	NA	NA	Gatwekera	308980.656724718	Between		NA	Different_loc	Esch_coli	Esch	3.9425	20.729	99.193	0.807	0.337	35.3705	16.073	0
ESO1212703120S1K	stools_11044501	na	NZ_LR134231.1	4594692	1038193	22.5955	1032815	99.482	1030050	99.7323	5378	0.518	1035417	99.7326	8251	0.7947	5475	66.3556	231	2.7997	3471	42.0676	4327	52.4421	75987	57.7165	49308	88.511	0.9893	WASHB	rural	2127031	Control	NA	NA	26	Nairobi	urban	11044	Water	NA	NA	Gatwekera	308991.562747275	Between		NA	Different_loc	Esch_coli	Esch	5.9985	45.7845	99.8415	0.1585	0.247	32.685	1.4865	0
ESO1212703120S1K	stools_11104101	na	NZ_CP022086.2	5256950	445843	8.481	444244	99.6414	440177	99.0845	1599	0.3586	441765	99.0853	5845	1.311	1767	30.231	187	3.1993	4017	68.7254	1502	25.6972	138347	52.3293	129597	63.7314	0.9773	WASHB	rural	2127031	Control	NA	NA	26	Nairobi	urban	11104	Water	NA	NA	Kibera	309374.357460169	Between		NA	Different_loc	Esch_coli	Esch	2.0105	33.469	99.497	0.5035	0.155	10.917	2.6585	0
ESO1212703120S1K	stools_11107501	na	NZ_LR134231.1	4594692	254802	5.5456	254290	99.7991	253205	99.5733	512	0.2009	253710	99.5714	1720	0.675	628	36.5116	123	7.1512	874	50.814	678	39.4186	75987	71.3412	157531	51.5733	0.97	WASHB	rural	2127031	Control	NA	NA	26	Nairobi	urban	11107	Water	NA	NA	Kibera	309200.728769547	Between		NA	Different_loc	Esch_coli	Esch	3.5955	27.7715	99.746	0.254	0.095	38.9265	0.9475	0
ESO1212703120S1K	stools_12058150	na	NZ_LR134231.1	4594692	193955	4.2213	193409	99.7185	192407	99.4819	546	0.2815	192949	99.4813	1597	0.8234	591	37.0069	51	3.1935	999	62.5548	529	33.1246	75987	61.3184	118020	61.2913	0.9777	WASHB	rural	2127031	Control	NA	NA	26	Nairobi	urban	12058	Control	NA	NA	Ngandu	304488.858807114	Between	Control	NA	Different_loc	Esch_coli	Esch	2.637	26.32	99.7805	0.2195	0.117	30.607	0.9565	0
ESO1212703120S1K	stools_12060501	na	NZ_LR134231.1	4594692	795098	17.3047	792193	99.6346	788118	99.4856	2905	0.3654	791016	99.4866	7181	0.9032	3099	43.1555	256	3.565	2324	32.3632	4454	62.0248	75987	45.6117	68981	75.847	0.9844	WASHB	rural	2127031	Control	NA	NA	26	Nairobi	urban	12060	Control	NA	NA	Ngandu	304405.005180865	Between	Control	NA	Different_loc	Esch_coli	Esch	2.1465	40.0595	99.6955	0.305	0.174	9.5155	0.986	0
ESO1212703120S1K	stools_12062101	na	NZ_LR134231.1	4594692	806967	17.563	804515	99.6961	801580	99.6352	2452	0.3039	804025	99.6354	5475	0.6785	2533	46.2648	121	2.21	2476	45.2237	2813	51.379	75987	36.9616	60817	67.4039	0.9836	WASHB	rural	2127031	Control	NA	NA	26	Nairobi	urban	12062	Control	NA	NA	Ngandu	304415.360817759	Between	Control	NA	Different_loc	Esch_coli	Esch	2.2535	39.9185	99.782	0.218	0.1525	11.6635	1.5245	0
ESO1212703120S1K	stools_12068150	na	NZ_CP022086.2	5256950	428583	8.1527	425286	99.2307	419397	98.6153	3297	0.7693	422658	98.6175	10091	2.3545	4166	41.2843	941	9.3251	3183	31.543	5605	55.5445	138347	77.4249	118608	83.6621	0.9824	WASHB	rural	2127031	Control	NA	NA	26	Nairobi	urban	12068	Control	NA	NA	Ngandu	304338.908399937	Between	Control	NA	Different_loc	Esch_coli	Esch	4.95	31.2585	99.1285	0.872	0.326	29.648	3.1715	0
ESO1212703120S1K	stools_12072101	na	NZ_LR134231.1	4594692	530513	11.5462	527356	99.4049	525748	99.6951	3157	0.5951	528894	99.6948	4829	0.9103	3210	66.4734	103	2.1329	2208	45.7238	2438	50.4866	75987	37.2116	30305	100	0.9886	WASHB	rural	2127031	Control	NA	NA	26	Nairobi	urban	12072	Control	NA	NA	Ngandu	304373.741636855	Between	Control	NA	Different_loc	Esch_coli	Esch	10.511	33.6425	99.841	0.159	0.262	48.1625	2.897	0
ESO1212703120S1K	stools_12084101	na	NZ_LR134231.1	4594692	908335	19.7692	902810	99.3917	900439	99.7374	5525	0.6083	905953	99.7378	8097	0.8914	5715	70.5817	347	4.2855	3125	38.5945	4402	54.3658	75987	55.3345	45884	100	0.9893	WASHB	rural	2127031	Control	NA	NA	26	Nairobi	urban	12084	Control	NA	NA	Ngandu	304644.195639592	Between	Control	NA	Different_loc	Esch_coli	Esch	11.182	43.4795	99.8285	0.1715	0.287	40.939	2.429	0
ESO1212703120S1K	stools_12084102	na	NZ_LR134231.1	4594692	1650244	35.9163	1646144	99.7516	1641529	99.7196	4100	0.2484	1645617	99.7196	8995	0.5451	4368	48.5603	302	3.3574	5308	59.0106	3277	36.4314	75987	47.2344	44020	100	0.989	WASHB	rural	2127031	Control	NA	NA	26	Nairobi	urban	12084	Control	NA	NA	Ngandu	304644.195639592	Between	Control	NA	Different_loc	Esch_coli	Esch	37.1045	61.8435	99.8225	0.1775	0.131	15.208	7.1365	0
ESO1212703120S1K	stools_12098150	na	NZ_LR134231.1	4594692	222650	4.8458	221880	99.6542	220603	99.4245	770	0.3458	221368	99.4242	2117	0.9508	835	39.4426	78	3.6845	1046	49.4095	960	45.3472	75987	61.3184	97381	65.2345	0.9829	WASHB	rural	2127031	Control	NA	NA	26	Nairobi	urban	12098	Control	NA	NA	Ngandu	304299.05733642	Between	Control	NA	Different_loc	Esch_coli	Esch	3.0385	27.198	99.738	0.262	0.153	34.64	0.729	0
